Club,Position,Age,Appearances,Wins,Losses,Shots,Shots on target,Big chances missed,Tackles,Interceptions,Clearances,Recoveries,Duels won,Duels lost,Passes,Big chances created,Crosses,Yellow cards,Red cards,Fouls,Offsides,Goals,Assists,Name
4,0,29.0,140,87,32,0.0,0.0,0.0,288.0,215.0,369.0,831.0,800.0,639.0,6434,17.0,428.0,25,1,125,16.0,20,12,Marcos Alonso
4,0,24.0,59,29,18,0.0,0.0,0.0,76.0,74.0,193.0,300.0,254.0,143.0,3213,2.0,0.0,6,1,35,1.0,0,0,Andreas Christensen
4,0,25.0,143,60,49,0.0,0.0,0.0,160.0,225.0,653.0,574.0,681.0,328.0,5767,2.0,20.0,10,1,87,6.0,5,4,Kurt Zouma
4,0,20.0,26,15,8,0.0,0.0,0.0,43.0,26.0,27.0,108.0,137.0,121.0,1104,6.0,120.0,1,0,24,1.0,1,3,Reece James
4,0,31.0,272,158,56,0.0,0.0,0.0,722.0,475.0,788.0,1376.0,1400.0,977.0,15647,32.0,577.0,23,1,240,10.0,8,31,César Azpilicueta
4,0,22.0,17,9,5,0.0,0.0,0.0,32.0,24.0,53.0,102.0,81.0,49.0,1193,0.0,4.0,3,0,8,1.0,1,0,Fikayo Tomori
4,0,26.0,30,11,14,0.0,0.0,0.0,43.0,28.0,31.0,104.0,122.0,74.0,1285,3.0,97.0,3,0,15,2.0,0,1,Emerson
4,0,23.0,99,40,36,0.0,0.0,0.0,157.0,117.0,261.0,529.0,637.0,542.0,4540,12.0,337.0,10,1,81,8.0,4,9,Ben Chilwell
4,0,36.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,Thiago Silva
4,0,20.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,Juan Castillo
4,3,27.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,Hakim Ziyech
